Species,Family,Number,Sex,Status,FunFH,MC_H,MCMT,SG,HD,UO,RP,MCP,MCD,MCPD,MCM,FH,FPG,MT_F,TP,MTP,MTD,MTM,CGR,ALW,ALW2
Leptomeryx_sp.,unknown,USNM_631385,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854497354,1.060037523,0.695453298,6.587871982,7.869565217,5.441660702,0.805333333,1.537438424,NA,NA
Longirostromeryx,E_Clarendonian,54709,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.165091155,NA,NA,NA,NA,NA,NA
Longirostromeryx,E_Clarendonian,54703,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861066236,1.079685039,NA,NA,NA,NA,NA,NA,NA,NA
Merycodus_necatus,Barstovian,USNM_352814,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.357638889,NA,1.141176471,NA,NA,NA
Merycodus_necatus,Barstovian,USNM_352803,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merycodus_necatus,Barstovian,USNM_352809,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74789916,NA
Merycodus_necatus,Barstovian,USNM_352810,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.616935484,NA
Merycodus_necatus,Barstovian,USNM_352797,unknown,fossil,NA,NA,NA,NA,0.7075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merycodus_necatus,Barstovian,USNM_352798,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merycodus_necatus,Barstovian,USNM_352808,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.659663866,NA
